Reference,Invoice,External Reference,Create Date,Validated Date,Amount Usd,Fee amount USD,Local Amount,Local Fee Amount,Local VAT,Local Original Amount,Local Currency,Exchange Rate,Country,User account,EXTRAE,Payment Method,Payment Method Name,Payment Method Type,Status,FechaMin,DiasDesdeFechaMin,CohortGroup,CohortPeriod,Pais,Plan,Duracion,ID
T-57873-ddb101fe-b3f7-475d-99eb-c1c26f41e1ca,PA-P2-1-145684,0,2022-11-15 17:38:06,0,27.14,1.34,27.14,1.3434,0.0,0.0,USD,1.0,PA,835ea980-6e1d-11ec-b6d5-1379906adf7b,2-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-15 17:38:06,0,0,0,PA,P2,1.0,145684
T-57873-d0562948-b931-4cea-b133-b0cbbb1e05f0,PA-P2-1-868308,0,2022-11-15 17:39:07,0,27.14,1.34,27.14,1.3434,0.0,0.0,USD,1.0,PA,835ea980-6e1d-11ec-b6d5-1379906adf7b,2-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-15 17:39:07,0,0,0,PA,P2,1.0,868308
T-57873-1787ea3b-ed3f-4b96-a978-ebc1d6ba5e02,PA-P2-1-298885,0,2022-11-15 17:47:44,0,27.14,1.34,27.14,1.3434,0.0,0.0,USD,1.0,PA,835ea980-6e1d-11ec-b6d5-1379906adf7b,2-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-15 17:47:44,0,0,0,PA,P2,1.0,298885
T-57873-fe37dcde-6ca3-4db2-afcc-ae6a726db2ea,PA-P2-1-885530,0,2022-11-15 17:49:59,0,27.14,1.34,27.14,1.3434,0.0,0.0,USD,1.0,PA,835ea980-6e1d-11ec-b6d5-1379906adf7b,2-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-15 17:49:59,0,0,0,PA,P2,1.0,885530
T-57873-e4490959-fe09-4042-821a-a0c22f756f09,PA-P2-1-410178,DLPA0288000018124514,2022-11-15 18:45:16,2022-11-15 18:45:15,27.14,1.34,27.14,1.3434,0.0,0.0,USD,1.0,PA,89859c40-22fd-11ec-b995-7165a5a26db0,2-1-,VD,Visa Debit,DEBIT_CARD,PAID,2022-11-15 18:45:16,0,0,0,PA,P2,1.0,410178
T-57873-b0170369-31e4-43a1-88f3-b9c7a789dc4e,PA-P2-1-340632,DLPA0288000094215011,2022-11-16 03:50:13,2022-11-16 03:50:12,27.14,1.34,27.14,1.3434,0.0,0.0,USD,1.0,PA,f7492fc0-a3ff-11eb-941b-0d10bf367740,2-1-,MD,MasterCard Debit,DEBIT_CARD,PAID,2022-11-16 03:50:13,0,0,0,PA,P2,1.0,340632
T-57873-e1e5f957-9e7e-4e6e-a4df-6833d53b4c0e,PA-P2-1-584275,DLPA0288000116130120,2022-11-16 19:01:22,2022-11-16 19:01:22,27.14,1.34,27.14,1.3434,0.0,0.0,USD,1.0,PA,3bd45e30-be37-11eb-9d9c-2d6706a6b805,2-1-,MC,Mastercard,CREDIT_CARD,PAID,2022-11-16 19:01:22,0,0,0,PA,P2,1.0,584275
T-57873-a4248a4f-2436-47bf-9593-9f2e01e6e18b,PA-P2-1-620678,DLPA0288000123155624,2022-11-16 21:56:26,2022-11-16 21:56:25,27.14,1.34,27.14,1.3434,0.0,0.0,USD,1.0,PA,a00f65ea-3718-4e07-b528-270bb82d45d8,2-1-,MC,Mastercard,CREDIT_CARD,PAID,2022-11-16 21:56:26,0,0,0,PA,P2,1.0,620678
T-57873-d5bec054-1a4d-4f26-9c65-91ffd37c6898,PA-P2-1-271417,DLPA0288000134172548,2022-11-16 23:25:51,0,27.14,1.34,27.14,1.3434,0.0,0.0,USD,1.0,PA,1beae886-fe0e-4f5b-9250-75fe9f524c4f,2-1-,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-16 23:25:51,0,0,0,PA,P2,1.0,271417
T-57873-9cc4aa43-ce48-4b93-b8bb-30beb0adf4c9,PA-P2-1-853979,0,2022-11-17 17:44:22,0,27.14,1.34,27.14,1.3434,0.0,0.0,USD,1.0,PA,7922e500-9bcc-11eb-a0dd-db2c764e6d10,2-1-,VI,Visa,CREDIT_CARD,REJECTED,2022-11-17 17:44:22,0,0,0,PA,P2,1.0,853979
T-57873-2f005812-8f31-49b1-891c-c1d867c997ec,PA-P2-1-327452,0,2022-11-17 17:44:51,0,27.14,1.34,27.14,1.3434,0.0,0.0,USD,1.0,PA,7922e500-9bcc-11eb-a0dd-db2c764e6d10,2-1-,VI,Visa,CREDIT_CARD,REJECTED,2022-11-17 17:44:51,0,0,0,PA,P2,1.0,327452
