Reference,Invoice,External Reference,Create Date,Validated Date,Amount Usd,Fee amount USD,Local Amount,Local Fee Amount,Local VAT,Local Original Amount,Local Currency,Exchange Rate,Country,User account,EXTRAE,Payment Method,Payment Method Name,Payment Method Type,Status,FechaMin,DiasDesdeFechaMin,CohortGroup,CohortPeriod,Pais,Plan,Duracion,ID
T-57873-7eb3c635-c005-4e1c-a48e-938695d04b1c,PA-P1-12-249099,DLPA0288000051144117,2022-11-15 20:41:18,2022-11-15 20:41:18,84.0,4.16,84.0,4.158,0.0,0.0,USD,1.0,PA,2c05f218-724a-4211-8eee-04fe97f55249,1-12,MC,Mastercard,CREDIT_CARD,PAID,2022-11-15 20:41:18,0,0,0,PA,P1,12.0,249099
T-57873-19e24213-3a25-4355-81cc-9ba443c49fc9,PA-P1-12-497040,DLPA0288000053160412,2022-11-15 22:04:14,0,84.0,4.16,84.0,4.158,0.0,0.0,USD,1.0,PA,9fcdc480-3836-11ec-a6c9-adc443fbe6e4,1-12,VD,Visa Debit,DEBIT_CARD,REJECTED,2022-11-15 22:04:14,0,0,0,PA,P1,12.0,497040
T-57873-9bd891dc-d629-4320-b670-c0b3454bdac1,PA-P1-12-284064,DLPA0288000054160920,2022-11-15 22:09:22,0,84.0,4.16,84.0,4.158,0.0,0.0,USD,1.0,PA,9fcdc480-3836-11ec-a6c9-adc443fbe6e4,1-12,VD,Visa Debit,DEBIT_CARD,REJECTED,2022-11-15 22:09:22,0,0,0,PA,P1,12.0,284064
T-57873-da8dd382-5c1e-4370-9234-3ea5b339e38b,PA-P1-12-503980,DLPA0288000060165401,2022-11-15 22:54:02,2022-11-15 22:54:02,84.0,4.16,84.0,4.158,0.0,0.0,USD,1.0,PA,c7e9e973-df79-4457-ab0e-c32b87e8c11b,1-12,MC,Mastercard,CREDIT_CARD,PAID,2022-11-15 22:54:02,0,0,0,PA,P1,12.0,503980
T-57873-96e508a4-1637-49c9-a52a-e7577a2c6bcf,PA-P1-12-480924,DLPA0288000066174736,2022-11-15 23:47:37,0,84.0,4.16,84.0,4.158,0.0,0.0,USD,1.0,PA,8c0ecf00-1af8-11ec-b319-a5efebbdb203,1-12,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-15 23:47:37,0,0,0,PA,P1,12.0,480924
T-57873-de8e9452-5afe-43fc-97c9-591ec148a8d2,PA-P1-12-804327,DLPA0288000076180207,2022-11-16 00:02:08,2022-11-16 00:02:07,84.0,4.16,84.0,4.158,0.0,0.0,USD,1.0,PA,7bd8b540-d23b-11eb-bcb1-77afd627bcc3,1-12,VI,Visa,CREDIT_CARD,PAID,2022-11-16 00:02:08,0,0,0,PA,P1,12.0,804327
T-57873-ed4c2ed1-ccf8-4c88-af9a-7e545149d7c0,PA-P1-12-860395,DLPA0288000093204804,2022-11-16 02:48:06,2022-11-16 02:48:05,84.0,4.16,84.0,4.158,0.0,0.0,USD,1.0,PA,aad18b8f-5399-4db9-9396-8290e77fc03b,1-12,VI,Visa,CREDIT_CARD,PAID,2022-11-16 02:48:06,0,0,0,PA,P1,12.0,860395
T-57873-f4413fb3-677f-40fe-9c02-3b36c7ac6001,PA-P1-12-985866,DLPA0288000157194923,2022-11-18 01:49:25,0,84.0,4.16,84.0,4.158,0.0,0.0,USD,1.0,PA,68d844b0-b720-11eb-acc2-255394833893,1-12,VD,Visa Debit,DEBIT_CARD,REJECTED,2022-11-18 01:49:25,0,0,0,PA,P1,12.0,985866
T-57873-32a2f555-a71c-4895-9e0e-556c26538d73,PA-P1-12-248592,DLPA0288000165084458,2022-11-18 14:45:00,2022-11-18 14:44:59,84.0,4.16,84.0,4.158,0.0,0.0,USD,1.0,PA,2d9d663a-0f2b-4e28-9ad0-1fc2c330ce0a,1-12,VI,Visa,CREDIT_CARD,PAID,2022-11-18 14:45:00,0,0,0,PA,P1,12.0,248592
T-57873-607658ca-1084-42e2-9c0b-164650ef263d,PA-P1-12-778767,DLPA0288000175100955,2022-11-19 16:09:56,0,84.0,4.16,84.0,4.158,0.0,0.0,USD,1.0,PA,c4291b90-388d-11eb-9236-674def2ba9c4,1-12,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-19 16:09:56,0,0,0,PA,P1,12.0,778767
