Reference,Invoice,External Reference,Create Date,Validated Date,Amount Usd,Fee amount USD,Local Amount,Local Fee Amount,Local VAT,Local Original Amount,Local Currency,Exchange Rate,Country,User account,EXTRAE,Payment Method,Payment Method Name,Payment Method Type,Status,FechaMin,DiasDesdeFechaMin,CohortGroup,CohortPeriod,Pais,Plan,Duracion,ID
T-57873-be276512-7631-4f84-861a-31e10d7ac65b,BR-P2-12-748241,0,2022-11-15 17:22:38,0,209.64,6.71,1188.0,38.016,0.0,0.0,BRL,5.6455,BR,a755f980-47b8-11ec-afa2-95859f503ac3,2-12,MC,Mastercard,CREDIT_CARD,REJECTED,2022-11-15 17:22:38,0,0,0,BR,P2,12.0,748241
T-57873-fada33ff-64e8-462c-b5ee-e6b8977b2268,BR-P2-12-331295,2032890876,2022-11-15 22:54:30,2022-11-15 22:54:30,209.64,6.71,1188.0,38.016,0.0,0.0,BRL,5.6455,BR,f642f8c8-7098-405f-96fb-c07ce91d8819,2-12,MC,Mastercard,CREDIT_CARD,PAID,2022-11-15 22:54:30,0,0,0,BR,P2,12.0,331295
T-57873-9f106deb-6bd2-44fe-bcbf-cc13e3fb0a40,BR-P2-12-800066,0,2022-11-16 02:54:00,0,209.64,6.71,1188.0,38.016,0.0,0.0,BRL,5.6455,BR,65900010-6674-11ec-ac8c-7f873b1f6493,2-12,MC,Mastercard,CREDIT_CARD,REJECTED,2022-11-16 02:54:00,0,0,0,BR,P2,12.0,800066
T-57873-60553f9b-3b92-4902-95ba-46f90aedf02e,BR-P2-12-564406,0,2022-11-16 02:55:57,0,209.64,6.71,1188.0,38.016,0.0,0.0,BRL,5.6455,BR,65900010-6674-11ec-ac8c-7f873b1f6493,2-12,MC,Mastercard,CREDIT_CARD,REJECTED,2022-11-16 02:55:57,0,0,0,BR,P2,12.0,564406
T-57873-8380b087-0dd8-4af6-a328-48ff9dae6dc1,BR-P2-12-495597,111760230023GVIIVMCC,2022-11-16 11:26:01,0,209.64,6.71,1188.0,38.016,0.0,0.0,BRL,5.6455,BR,1e257576-218d-4910-b28f-5c1122037974,2-12,EL,Elo,CREDIT_CARD,REJECTED,2022-11-16 11:26:01,0,0,0,BR,P2,12.0,495597
T-57873-ef072d2e-b28a-45a2-ad0c-dacba8076ade,BR-P2-12-515055,2033733992,2022-11-16 12:56:48,2022-11-16 12:56:48,209.64,6.71,1188.0,38.016,0.0,0.0,BRL,5.6455,BR,6b529a0f-4aa1-4572-83cb-ca101761d984,2-12,VI,Visa,CREDIT_CARD,PAID,2022-11-16 12:56:48,0,0,0,BR,P2,12.0,515055
D-57873-6a0add59-33c6-4f72-9dd7-4ec44c11028b,BR-P2-12-410520,QRS1TX35RQRPQWARGZBAFNWOLACR811ZD3P,2022-11-16 13:18:19,0,209.55,8.17,1188.0,46.332,0.0,0.0,BRL,5.6477,BR,9b6c8c59-168f-4dff-adda-7d045a2d1af8,2-12,PQ,PIX QR,CASH,REJECTED,2022-11-16 13:18:19,0,0,0,BR,P2,12.0,410520
T-57873-3f004a95-a959-41c7-a88b-eb68f1ec8b1e,BR-P2-12-766861,111760230023GVJ26CQC,2022-11-16 14:04:06,2022-11-16 14:04:05,210.48,6.74,1188.0,38.016,0.0,0.0,BRL,5.623,BR,8798f670-6e31-11ec-a704-c5071e13eedb,2-12,EL,Elo,CREDIT_CARD,PAID,2022-11-16 14:04:06,0,0,0,BR,P2,12.0,766861
T-57873-b8557408-89d8-455e-896a-ae53b5508824,BR-P2-12-716882,2033937077,2022-11-16 15:12:00,2022-11-16 15:11:59,208.96,6.69,1188.0,38.016,0.0,0.0,BRL,5.6638,BR,7c2e6710-585c-11ec-9c59-2d719da87eae,2-12,MC,Mastercard,CREDIT_CARD,PAID,2022-11-16 15:12:00,0,0,0,BR,P2,12.0,716882
REF-57873-245d6ac0-388c-42b7-9b77-0876fefdbede,BR-P2-12-716882,0,2022-11-16 15:13:20,2022-11-16 15:15:09,208.96,1.0,1188.0,0.0,0.0,0.0,BRL,0.0,BR,0,2-12,MC,Mastercard,CREDIT_CARD,REFUNDED,2022-11-16 15:13:20,0,0,0,BR,P2,12.0,716882
T-57873-6d2567fb-33ab-41d3-a86f-a5cca8742d48,BR-P2-12-135450,2034072637,2022-11-16 16:29:57,2022-11-16 16:29:56,208.62,6.68,1188.0,38.016,0.0,0.0,BRL,5.6731,BR,de1a6014-5b12-4d30-ad0e-71cc217d48ff,2-12,MC,Mastercard,CREDIT_CARD,PAID,2022-11-16 16:29:57,0,0,0,BR,P2,12.0,135450
T-57873-de1e5c1a-be86-435b-91e4-09d10ee6b211,BR-P2-12-482932,111760230023GVJFKAIC,2022-11-16 16:34:51,0,208.52,6.67,1188.0,38.016,0.0,0.0,BRL,5.6756,BR,591e9120-fd7b-475a-9766-61bbfe29167f,2-12,VD,Visa Debit,DEBIT_CARD,REJECTED,2022-11-16 16:34:51,0,0,0,BR,P2,12.0,482932
T-57873-638c2354-0676-4b69-a57b-d15239c735c5,BR-P2-12-123435,111760230023GVJEV6HC,2022-11-16 16:36:15,0,208.43,6.67,1188.0,38.016,0.0,0.0,BRL,5.6782,BR,591e9120-fd7b-475a-9766-61bbfe29167f,2-12,VD,Visa Debit,DEBIT_CARD,REJECTED,2022-11-16 16:36:15,0,0,0,BR,P2,12.0,123435
T-57873-7a13a414-f20e-4762-b23c-086cfded5fcc,BR-P2-12-551756,0,2022-11-16 20:00:04,0,207.48,6.64,1188.0,38.016,0.0,0.0,BRL,5.7042,BR,c0b9a981-0c49-4ee6-b6da-c8fe1b73c770,2-12,AE,American Express,CREDIT_CARD,REJECTED,2022-11-16 20:00:04,0,0,0,BR,P2,12.0,551756
T-57873-a6927b27-c223-4784-ac67-e20e73b48754,BR-P2-12-914391,0,2022-11-16 20:01:06,0,207.51,6.64,1188.0,38.016,0.0,0.0,BRL,5.7034,BR,c0b9a981-0c49-4ee6-b6da-c8fe1b73c770,2-12,AE,American Express,CREDIT_CARD,REJECTED,2022-11-16 20:01:06,0,0,0,BR,P2,12.0,914391
D-57873-598b46e4-9a0c-4cc9-b256-e45de28d6ce4,BR-P2-12-370742,QRS1TXFD6B2EDGZYREWGASL3GZVO66QFAP6,2022-11-16 21:07:24,0,207.03,8.07,1188.0,46.332,0.0,0.0,BRL,5.7166,BR,91c3b151-8f76-4c7e-8b42-7446931095e9,2-12,PQ,PIX QR,CASH,REJECTED,2022-11-16 21:07:24,0,0,0,BR,P2,12.0,370742
T-57873-1e20381b-5fa1-4383-9719-1f8e2aa34f0f,BR-P2-12-392188,111760230023GVK690MC,2022-11-16 21:08:29,0,207.03,6.62,1188.0,38.016,0.0,0.0,BRL,5.7166,BR,91c3b151-8f76-4c7e-8b42-7446931095e9,2-12,VD,Visa Debit,DEBIT_CARD,REJECTED,2022-11-16 21:08:29,0,0,0,BR,P2,12.0,392188
T-57873-30c636d7-abaa-4d59-ac6e-978f8349d1e5,BR-P2-12-815505,0,2022-11-16 21:11:28,0,207.03,6.62,1188.0,38.016,0.0,0.0,BRL,5.7166,BR,91c3b151-8f76-4c7e-8b42-7446931095e9,2-12,MC,Mastercard,CREDIT_CARD,REJECTED,2022-11-16 21:11:28,0,0,0,BR,P2,12.0,815505
T-57873-10010ef7-d1fd-417f-af5f-66fb9462135b,BR-P2-12-883254,0,2022-11-16 21:13:32,0,207.03,6.62,1188.0,38.016,0.0,0.0,BRL,5.7166,BR,91c3b151-8f76-4c7e-8b42-7446931095e9,2-12,MC,Mastercard,CREDIT_CARD,REJECTED,2022-11-16 21:13:32,0,0,0,BR,P2,12.0,883254
T-57873-67f6fc5a-1b8c-4143-98b6-8297987f9719,BR-P2-12-113705,0,2022-11-16 21:14:34,0,207.03,6.62,1188.0,38.016,0.0,0.0,BRL,5.7166,BR,91c3b151-8f76-4c7e-8b42-7446931095e9,2-12,MC,Mastercard,CREDIT_CARD,REJECTED,2022-11-16 21:14:34,0,0,0,BR,P2,12.0,113705
T-57873-0ad240e9-8c93-4250-bf6b-d9fe8a44af7d,BR-P2-12-241288,0,2022-11-16 21:15:04,0,207.03,6.62,1188.0,38.016,0.0,0.0,BRL,5.7166,BR,91c3b151-8f76-4c7e-8b42-7446931095e9,2-12,MC,Mastercard,CREDIT_CARD,REJECTED,2022-11-16 21:15:04,0,0,0,BR,P2,12.0,241288
T-57873-2a76813a-238b-4dd2-88b0-430b61d25b77,BR-P2-12-151734,0,2022-11-16 21:15:17,0,207.03,6.62,1188.0,38.016,0.0,0.0,BRL,5.7166,BR,91c3b151-8f76-4c7e-8b42-7446931095e9,2-12,MC,Mastercard,CREDIT_CARD,REJECTED,2022-11-16 21:15:17,0,0,0,BR,P2,12.0,151734
T-57873-6abe7c51-06e2-4d48-9b64-568c70d495b0,BR-P2-12-926558,0,2022-11-16 21:53:30,0,207.03,6.62,1188.0,38.016,0.0,0.0,BRL,5.7166,BR,fa3349fc-4b35-42bb-841a-8abba554ff41,2-12,MC,Mastercard,CREDIT_CARD,REJECTED,2022-11-16 21:53:30,0,0,0,BR,P2,12.0,926558
T-57873-bc655fe0-87f0-470a-b446-6aaff786b534,BR-P2-12-691697,2034702159,2022-11-16 23:22:09,2022-11-16 23:22:09,207.03,6.62,1188.0,38.016,0.0,0.0,BRL,5.7166,BR,5318bce0-738d-406d-b588-33330fd86c9f,2-12,MC,Mastercard,CREDIT_CARD,PAID,2022-11-16 23:22:09,0,0,0,BR,P2,12.0,691697
T-57873-12745088-00f1-4086-b0f5-00c3b0632087,BR-P2-12-724951,0,2022-11-16 23:48:33,0,207.03,6.62,1188.0,38.016,0.0,0.0,BRL,5.7166,BR,b53480b0-3700-11ec-a282-2bf80beb6c08,2-12,VI,Visa,CREDIT_CARD,REJECTED,2022-11-16 23:48:33,0,0,0,BR,P2,12.0,724951
D-57873-b19fc376-d205-4835-bfc9-45446dcc5529,BR-P2-12-157758,QRS1TXZGUXSD3BOAZ4WUNIQ2MEYHYTFGR0U,2022-11-17 00:45:40,0,207.03,8.07,1188.0,46.332,0.0,0.0,BRL,5.7166,BR,2106dd60-7c85-11ec-a90e-d14ef0cd1825,2-12,PQ,PIX QR,CASH,REJECTED,2022-11-17 00:45:40,0,0,0,BR,P2,12.0,157758
