Reference,Invoice,External Reference,Create Date,Validated Date,Amount Usd,Fee amount USD,Local Amount,Local Fee Amount,Local VAT,Local Original Amount,Local Currency,Exchange Rate,Country,User account,EXTRAE,Payment Method,Payment Method Name,Payment Method Type,Status,FechaMin,DiasDesdeFechaMin,CohortGroup,CohortPeriod,Pais,Plan,Duracion,ID
T-57873-1f1e381e-b53e-4c8c-ad94-6f658f2f84ff,BR-P2-1-388176,0,2022-11-15 17:24:52,0,24.96,0.8,141.43,4.5258,0.0,0.0,BRL,5.6455,BR,a755f980-47b8-11ec-afa2-95859f503ac3,2-1-,MC,Mastercard,CREDIT_CARD,REJECTED,2022-11-15 17:24:52,0,0,0,BR,P2,1.0,388176
D-57873-6b942ae3-6c3f-4744-acd5-b51dda58bba3,BR-P2-1-950258,QRS1TX75TKPHSOE2NMRU4Q91P4Z3RWESUFH,2022-11-15 18:10:32,2022-11-15 18:12:50,24.96,0.97,141.43,5.5158,0.0,0.0,BRL,5.6455,BR,9a46e480-43d7-11eb-8f5d-43af36418b8a,2-1-,PQ,PIX QR,CASH,PAID,2022-11-15 18:10:32,0,0,0,BR,P2,1.0,950258
D-57873-260b2ccf-763f-4c68-9d36-874db755547e,BR-P2-1-719169,QRS1TXHPOZAKRMGZZBY0XMHSDBLGEUHHPNR,2022-11-15 18:14:16,0,24.96,0.97,141.43,5.5158,0.0,0.0,BRL,5.6455,BR,67832620-e19a-483c-9b88-b7eae8d771dd,2-1-,PQ,PIX QR,CASH,REJECTED,2022-11-15 18:14:16,0,0,0,BR,P2,1.0,719169
T-57873-9cd17f71-0539-48ef-a54b-070bd671f1db,BR-P2-1-709380,2032434993,2022-11-15 18:19:39,2022-11-15 18:19:38,24.96,0.8,141.43,4.5258,0.0,0.0,BRL,5.6455,BR,67832620-e19a-483c-9b88-b7eae8d771dd,2-1-,MC,Mastercard,CREDIT_CARD,PAID,2022-11-15 18:19:39,0,0,0,BR,P2,1.0,709380
D-57873-b67fe9d0-e5a8-429d-9013-15f5a50fefef,BR-P2-1-644834,QRS1TXWHWDDKFRJOVKTDZSIYVFDFWB4Y77Z,2022-11-15 18:52:31,2022-11-15 18:53:42,24.96,0.97,141.43,5.5158,0.0,0.0,BRL,5.6455,BR,a755f980-47b8-11ec-afa2-95859f503ac3,2-1-,PQ,PIX QR,CASH,PAID,2022-11-15 18:52:31,0,0,0,BR,P2,1.0,644834
D-57873-7742b48d-f1a6-430b-9f43-b68e7ac6ae03,BR-P2-1-715125,QRS1TXFCLR3W0XUFRPXTFBOMERYG74H00L1,2022-11-15 22:01:47,2022-11-15 22:02:31,24.96,0.97,141.43,5.5158,0.0,0.0,BRL,5.6455,BR,fdf38936-b1ed-4a83-8233-44262b87a0a4,2-1-,PQ,PIX QR,CASH,PAID,2022-11-15 22:01:47,0,0,0,BR,P2,1.0,715125
T-57873-fe24e399-2a46-4c97-a381-abd6a179ca61,BR-P2-1-843395,2032802713,2022-11-15 22:05:07,2022-11-15 22:05:07,24.96,0.8,141.43,4.5258,0.0,0.0,BRL,5.6455,BR,fefb6805-e373-4a83-97cc-571f14af6f58,2-1-,VI,Visa,CREDIT_CARD,PAID,2022-11-15 22:05:07,0,0,0,BR,P2,1.0,843395
D-57873-36faea5d-6f60-4761-a4d0-ff99431b9698,BR-P2-1-765383,QRS1TXPF6JSFUG5GSSCYXLSMSOGWWFK0T6H,2022-11-15 22:58:15,2022-11-15 22:58:53,24.96,0.97,141.43,5.5158,0.0,0.0,BRL,5.6455,BR,70b7fcf8-e558-43a6-b0d6-ca9101c5089c,2-1-,PQ,PIX QR,CASH,PAID,2022-11-15 22:58:15,0,0,0,BR,P2,1.0,765383
D-57873-d4630875-60d9-41db-899c-a33339721192,BR-P2-1-199506,QRS1TXOGCRMQDSTMFKGL6HJQTAVYEIZVGJ3,2022-11-15 23:29:58,2022-11-15 23:30:23,24.96,0.97,141.43,5.5158,0.0,0.0,BRL,5.6455,BR,b1625a91-30f7-45a1-8853-94496537b68f,2-1-,PQ,PIX QR,CASH,PAID,2022-11-15 23:29:58,0,0,0,BR,P2,1.0,199506
T-57873-149f5a71-8e0d-4cd1-a6a2-1dac319c4eb3,BR-P2-1-299833,2033227312,2022-11-16 02:24:52,2022-11-16 02:24:52,24.96,0.8,141.43,4.5258,0.0,0.0,BRL,5.6455,BR,0d2fe307-450a-44df-8a9c-e07cbcf69c77,2-1-,VI,Visa,CREDIT_CARD,PAID,2022-11-16 02:24:52,0,0,0,BR,P2,1.0,299833
