Reference,Invoice,External Reference,Create Date,Validated Date,Amount Usd,Fee amount USD,Local Amount,Local Fee Amount,Local VAT,Local Original Amount,Local Currency,Exchange Rate,Country,User account,EXTRAE,Payment Method,Payment Method Name,Payment Method Type,Status,FechaMin,DiasDesdeFechaMin,CohortGroup,CohortPeriod,Pais,Plan,Duracion,ID
T-57873-ecaf6f3a-6ad1-44e9-81c4-3966fde928c1,PA-P2-6-560351,0,2022-11-15 18:04:40,0,130.26,6.45,130.26,6.4479,0.0,0.0,USD,1.0,PA,918803d7-b406-4ff3-8987-d2dc4b4e980f,2-6-,MC,Mastercard,CREDIT_CARD,REJECTED,2022-11-15 18:04:40,0,0,0,PA,P2,6.0,560351
T-57873-b9d5cf3a-6b70-4469-ab7f-6d42e44527c2,PA-P2-6-224983,0,2022-11-15 18:05:36,0,130.26,6.45,130.26,6.4479,0.0,0.0,USD,1.0,PA,918803d7-b406-4ff3-8987-d2dc4b4e980f,2-6-,MC,Mastercard,CREDIT_CARD,REJECTED,2022-11-15 18:05:36,0,0,0,PA,P2,6.0,224983
T-57873-16d05d82-8649-459d-b5b7-30131a2bc38b,PA-P2-6-564072,0,2022-11-17 17:43:07,0,130.26,6.45,130.26,6.4479,0.0,0.0,USD,1.0,PA,7922e500-9bcc-11eb-a0dd-db2c764e6d10,2-6-,VI,Visa,CREDIT_CARD,REJECTED,2022-11-17 17:43:07,0,0,0,PA,P2,6.0,564072
T-57873-14517c15-8309-4d25-9824-9c016879213a,PA-P2-6-951073,DLPA0288000237062416,2022-11-24 12:24:18,2022-11-24 12:24:17,130.26,6.45,130.26,6.4479,0.0,0.0,USD,1.0,PA,eae6ae72-f48c-4bca-ac4c-cbdbb256c4b1,2-6-,MD,MasterCard Debit,DEBIT_CARD,PAID,2022-11-24 12:24:18,0,0,0,PA,P2,6.0,951073
T-57873-a65c9f64-016e-4735-88b9-3a95433d26c5,PA-P2-6-534132,DLPA0288000262154228,2022-11-25 21:42:31,2022-11-25 21:42:30,130.26,6.45,130.26,6.4479,0.0,0.0,USD,1.0,PA,e9c21f77-57dc-4418-88cd-602c45ac634c,2-6-,VI,Visa,CREDIT_CARD,PAID,2022-11-25 21:42:31,0,0,0,PA,P2,6.0,534132
T-57873-d71952aa-2483-490b-813f-a0a9713ec51c,PA-P2-6-511073,DLPA0288000517160349,2023-01-09 22:03:51,2023-01-09 22:03:50,130.26,6.45,130.26,6.4479,0.0,0.0,USD,1.0,PA,9ba5adcd-5ef4-427d-8708-81ff1961e7ab,2-6-,NO ESTABA,NO ESTABA,VD,Visa Debit,2023-01-09 22:03:51,0,0,0,PA,P2,6.0,511073
T-57873-1f014b62-4f13-4231-a8e3-235ebfd93498,PA-P2-6-890634,DLPA0288000637205637,2023-02-01 02:56:45,2023-02-01 2:56:45,130.26,6.45,130.26,6.4479,0.0,0.0,USD,1.0,PA,7f7cfd26-dd0b-4dea-bfa6-1ebf97edffbf,2-6-,NO ESTABA NOV,NO ESTABA DIC,NO ESTABA ENE,VD,2023-02-01 02:56:45,0,0,0,PA,P2,6.0,890634
T-57873-9f4f94f2-7bf3-4d77-9827-325eefabd552,PA-P2-6-895781,DLPA0288000765204359,2023-02-22 02:44:01,0,130.26,6.45,130.26,6.4479,0.0,0.0,USD,1.0,PA,71db06b0-6c40-11ec-84dc-358de9e65ac5,2-6-,ESTABA NOV,NO ESTABA DIC,NO ESTABA ENE,VD,2023-02-22 02:44:01,0,0,0,PA,P2,6.0,895781
T-57873-6cb7ef20-7830-4839-beba-97b1b2e04a81,PA-P2-6-675606,DLPA0288000796080327,2023-02-28 14:03:28,0,130.26,6.45,130.26,6.4479,0.0,0.0,USD,1.0,PA,9e25cb04-8db2-4e33-bab5-e6ec95781d39,2-6-,NO ESTABA NOV,NO ESTABA DIC,NO ESTABA ENE,MD,2023-02-28 14:03:28,0,0,0,PA,P2,6.0,675606
T-57873-d611fee0-5883-4320-95d6-f69fcb76eb2d,PA-P2-6-125929,0,2023-02-28 14:17:31,0,130.26,6.45,130.26,6.4479,0.0,0.0,USD,1.0,PA,9e25cb04-8db2-4e33-bab5-e6ec95781d39,2-6-,NO ESTABA NOV,NO ESTABA DIC,NO ESTABA ENE,MD,2023-02-28 14:17:31,0,0,0,PA,P2,6.0,125929
T-57873-128a2a88-ec7b-459d-8817-e1956a223e0f,PA-P2-6-709641,0,2023-02-28 14:21:33,0,130.26,6.45,130.26,6.4479,0.0,0.0,USD,1.0,PA,9e25cb04-8db2-4e33-bab5-e6ec95781d39,2-6-,NO ESTABA NOV,NO ESTABA DIC,NO ESTABA ENE,MD,2023-02-28 14:21:33,0,0,0,PA,P2,6.0,709641
T-57873-3cc4fc69-c712-4252-a0fb-c7b259ce60a6,PA-P2-6-226181,DLPA0288000797082227,2023-02-28 14:22:29,2023-02-28 14:22:28,130.26,6.45,130.26,6.4479,0.0,0.0,USD,1.0,PA,9e25cb04-8db2-4e33-bab5-e6ec95781d39,2-6-,NO ESTABA NOV,NO ESTABA DIC,NO ESTABA ENE,MD,2023-02-28 14:22:29,0,0,0,PA,P2,6.0,226181
