Reference,Invoice,External Reference,Create Date,Validated Date,Amount Usd,Fee amount USD,Local Amount,Local Fee Amount,Local VAT,Local Original Amount,Local Currency,Exchange Rate,Country,User account,EXTRAE,Payment Method,Payment Method Name,Payment Method Type,Status,FechaMin,DiasDesdeFechaMin,CohortGroup,CohortPeriod,Pais,Plan,Duracion,ID
T-57873-e80a467a-c754-41f7-aa20-d61d7fcdb431,CL-P1-3-256625,1946658649,2022-11-16 10:23:06,2022-11-16 10:23:05,26.58,1.09,25033.0,1026.353,0.0,0.0,CLP,941.7051,CL,773273a0-6034-11ec-a0e1-517faa8d9ead,1-3-,VD,Visa Debit,DEBIT_CARD,PAID,2022-11-16 10:23:06,0,0,0,CL,P1,3.0,256625
T-57873-50d63543-598a-4108-90b4-a63e7388d478,CL-P1-3-995577,1950551481,2022-11-17 14:38:08,2022-11-17 14:38:07,25.53,1.05,25033.0,1026.353,0.0,0.0,CLP,980.4989,CL,e833897b-48a5-442d-b12e-4f57eabbaa2d,1-3-,VD,Visa Debit,DEBIT_CARD,PAID,2022-11-17 14:38:08,0,0,0,CL,P1,3.0,995577
T-57873-f3136fc2-eb06-48fd-8e5b-4774058a019a,CL-P1-3-152488,080585,2022-11-30 16:09:26,2022-11-30 16:09:25,26.45,1.08,25033.0,1026.353,0.0,0.0,CLP,946.5789,CL,18ca0680-4c75-11eb-a2da-8f079efd4a57,1-3-,VI,Visa,CREDIT_CARD,PAID,2022-11-30 16:09:26,0,0,0,CL,P1,3.0,152488
T-57873-8f4ad0c5-fc5f-4458-ba03-eff812c37c7a,CL-P1-3-916330,270829,2023-01-25 15:06:43,2023-01-25 15:06:40,29.32,1.2,25033.0,1026.353,0.0,0.0,CLP,853.8311,CL,62dd52d0-3f5c-11ec-b7cd-b3d53a4bc499,1-3-,NO ESTABA,NO ESTABA,MC,Mastercard,2023-01-25 15:06:43,0,0,0,CL,P1,3.0,916330
T-57873-9e339632-fd71-42a6-aa88-74558b6c351e,CL-P1-3-458431,2275437195,2023-02-17 06:30:46,2023-02-17 6:30:45,29.8,1.22,25033.0,1026.353,0.0,0.0,CLP,839.9853,CL,773273a0-6034-11ec-a0e1-517faa8d9ead,1-3-,ESTABA NOV,NO ESTABA DIC,NO ESTABA ENE,VD,2023-02-17 06:30:46,0,0,0,CL,P1,3.0,458431
T-57873-b110cccd-db08-43d1-9f5f-cb553e479af8,CL-P1-3-327099,2279383225,2023-02-18 06:30:45,2023-02-18 6:30:44,29.89,1.23,25033.0,1026.353,0.0,0.0,CLP,837.4011,CL,e833897b-48a5-442d-b12e-4f57eabbaa2d,1-3-,ESTABA NOV,NO ESTABA DIC,NO ESTABA ENE,VD,2023-02-18 06:30:45,0,0,0,CL,P1,3.0,327099
T-57873-f08d0fe8-8817-478e-ba92-5f46b79b4d94,CL-P1-3-864936,2309322691,2023-02-26 22:05:57,2023-02-26 22:05:57,28.6,1.17,25033.0,1026.353,0.0,0.0,CLP,875.2961,CL,5d31fa9e-0394-4870-a426-89d86eff619b,1-3-,NO ESTABA NOV,NO ESTABA DIC,NO ESTABA ENE,VD,2023-02-26 22:05:57,0,0,0,CL,P1,3.0,864936
