Reference,Invoice,External Reference,Create Date,Validated Date,Amount Usd,Fee amount USD,Local Amount,Local Fee Amount,Local VAT,Local Original Amount,Local Currency,Exchange Rate,Country,User account,EXTRAE,Payment Method,Payment Method Name,Payment Method Type,Status,FechaMin,DiasDesdeFechaMin,CohortGroup,CohortPeriod,Pais,Plan,Duracion,ID
T-57873-f0b81d25-70cf-40fb-b3a0-f3f2eca3896d,BR-P2-6-550835,2032897517,2022-11-15 22:57:48,2022-11-15 22:57:47,119.79,3.83,678.84,21.7229,0.0,0.0,BRL,5.6455,BR,c28fbe80-47c7-11ec-b1b2-d3a8a57d4b36,2-6-,VI,Visa,CREDIT_CARD,PAID,2022-11-15 22:57:48,0,0,0,BR,P2,6.0,550835
T-57873-5d774e49-ef39-4acd-a2e6-3ed231a6c979,BR-P2-6-113211,2046225553,2022-11-23 17:15:36,2022-11-23 17:15:36,118.38,3.79,678.84,21.7229,0.0,0.0,BRL,5.7129,BR,d9d384f8-7c7d-4bd8-9033-1dc314699996,2-6-,MC,Mastercard,CREDIT_CARD,PAID,2022-11-23 17:15:36,0,0,0,BR,P2,6.0,113211
D-57873-ea0c197f-9375-4199-984e-2643800c9f0c,BR-P2-6-529021,QRS1TXPJYXJXXS2KKVZWFNVBDSAPA1BK6UU,2022-12-21 21:48:37,0,122.62,4.78,678.84,26.4748,0.0,0.0,BRL,5.515,BR,47be2eeb-d6a1-4e34-8215-f6cdf3aa6c3e,2-6-,no,PQ,PIX QR,CASH,2022-12-21 21:48:37,0,0,0,BR,P2,6.0,529021
D-57873-6c15d055-aa3f-491f-bd37-0e948814fa05,BR-P2-6-731863,QRS1TXJEB2JWWGVESJH6NFMJYQ9ICHQGEED,2023-01-03 12:43:59,2023-01-03 12:45:11,119.17,4.65,678.84,26.4748,0.0,0.0,BRL,5.6746,BR,85cff2db-01f5-4001-a7f9-9fcf485aa88a,2-6-,NO ESTABA,SI ESTABA,PQ,PIX QR,2023-01-03 12:43:59,0,0,0,BR,P2,6.0,731863
T-57873-c4467b8e-0865-477e-bebd-853e2695170f,BR-P2-6-251357,159d2bbc-ae7b-4181-bed9-a9860cb6eec1,2023-01-05 15:19:53,2023-01-05 15:19:52,118.35,3.79,678.84,21.7229,0.0,0.0,BRL,5.714,BR,2cbdcb17-dcb8-46e9-b1a7-3b68e23caa48,2-6-,NO ESTABA,NO ESTABA,MC,Mastercard,2023-01-05 15:19:53,0,0,0,BR,P2,6.0,251357
T-57873-627fdbf1-837b-46ab-8b65-41e3ea3a9be8,BR-P2-6-902523,e106a96a-798f-4552-8c54-dbf70c2a7de5,2023-01-27 22:58:49,2023-01-27 22:58:48,124.87,4.0,678.84,21.7229,0.0,0.0,BRL,5.4156,BR,0d2fe307-450a-44df-8a9c-e07cbcf69c77,2-6-,NO ESTABA,SI ESTABA,MC,Mastercard,2023-01-27 22:58:49,0,0,0,BR,P2,6.0,902523
D-57873-a7a79c21-256a-477e-ae69-2df370cf2593,BR-P2-6-994243,QRS1TX14XXL7OG5LOAWMII73UTQROFYDINH,2023-02-22 20:11:41,2023-02-22 20:12:39,123.46,4.81,678.84,26.4748,0.0,0.0,BRL,5.4776,BR,6f8118a4-88b6-47d1-8687-e6085e2261e4,2-6-,NO ESTABA NOV,NO ESTABA DIC,ESTABA ENE,PQ,2023-02-22 20:11:41,0,0,0,BR,P2,6.0,994243
T-57873-f30171e3-032d-4512-add0-92eadd83866c,BR-P2-6-475209,ab2bdfee-56c8-4cea-a815-3fa606d6ae2f,2023-02-24 19:52:29,2023-02-24 19:52:28,122.62,3.92,678.84,21.7229,0.0,0.0,BRL,5.515,BR,508c31a0-9713-11eb-98cc-4bf902463fab,2-6-,NO ESTABA NOV,NO ESTABA DIC,NO ESTABA ENE,MC,2023-02-24 19:52:29,0,0,0,BR,P2,6.0,475209
