Reference,Invoice,External Reference,Create Date,Validated Date,Amount Usd,Fee amount USD,Local Amount,Local Fee Amount,Local VAT,Local Original Amount,Local Currency,Exchange Rate,Country,User account,EXTRAE,Payment Method,Payment Method Name,Payment Method Type,Status,FechaMin,DiasDesdeFechaMin,CohortGroup,CohortPeriod,Pais,Plan,Duracion,ID
T-57873-43fd4e6d-c771-443b-80ab-b4cba0f1a01f,MX-P1-1-392956,730082473512,2022-12-27 06:30:41,0,9.66,0.31,198.57,6.3542,0.0,0.0,MXN,20.5629,MX,997dd530-2208-11ec-9f45-cb3c5697b186,1-1-,no,VI,Visa,CREDIT_CARD,2022-12-27 06:30:41,0,0,0,MX,P1,1.0,392956
T-57873-a379ea4a-1f47-48c7-8bab-75bd872a66f3,MX-P1-1-121943,920087067839,2022-12-29 06:30:43,2022-12-29 06:30:42,9.65,0.31,198.57,6.3542,0.0,0.0,MXN,20.5839,MX,a77a13c7-2fbe-4968-88bb-f4c56134e02b,1-1-,no,MC,Mastercard,CREDIT_CARD,2022-12-29 06:30:43,0,0,0,MX,P1,1.0,121943
T-57873-718ef546-339b-4715-893d-55df0358df12,MX-P1-1-233631,920087067844,2022-12-29 06:30:44,0,9.65,0.31,198.57,6.3542,0.0,0.0,MXN,20.5839,MX,997dd530-2208-11ec-9f45-cb3c5697b186,1-1-,no,VI,Visa,CREDIT_CARD,2022-12-29 06:30:44,0,0,0,MX,P1,1.0,233631
T-57873-f01c3195-8313-4497-a374-0ae12aaec963,MX-P1-1-116395,850086410812,2022-12-30 13:33:41,0,9.58,0.31,198.57,6.3542,0.0,0.0,MXN,20.7339,MX,997dd530-2208-11ec-9f45-cb3c5697b186,1-1-,no,MC,Mastercard,CREDIT_CARD,2022-12-30 13:33:41,0,0,0,MX,P1,1.0,116395
T-57873-aac954de-2e71-42ed-9feb-dbf84a4a38bc,MX-P1-1-809610,820089924500,2022-12-30 13:50:05,2022-12-30 13:50:05,9.59,0.31,198.57,6.3542,0.0,0.0,MXN,20.7082,MX,997dd530-2208-11ec-9f45-cb3c5697b186,1-1-,no,VD,Visa Debit,DEBIT_CARD,2022-12-30 13:50:05,0,0,0,MX,P1,1.0,809610
T-57873-609111ca-ee5e-4432-87c8-5df1cb40f647,MX-P1-1-895833,730086028232,2022-12-31 06:30:42,0,9.59,0.31,198.57,6.3542,0.0,0.0,MXN,20.707,MX,6b537180-7160-11eb-9096-ad5118a1c541,1-1-,no,VD,Visa Debit,DEBIT_CARD,2022-12-31 06:30:42,0,0,0,MX,P1,1.0,895833
T-57873-2f653530-1a5c-482b-9cdc-c81e655a91ab,MX-P1-1-715486,trorghuhgz7snyviwqix,2023-01-01 21:12:13,2023-01-01 21:12:13,9.59,0.31,198.57,6.3542,0.0,0.0,MXN,20.7071,MX,6a3bf25d-5216-4314-b42c-4ac6f8fa36d8,1-1-,NO ESTABA,NO ESTABA,VD,Visa Debit,2023-01-01 21:12:13,0,0,0,MX,P1,1.0,715486
T-57873-e44c876f-7153-4225-b888-85e0bf4a88dc,MX-P1-1-889612,820092158123,2023-01-01 21:57:32,2023-01-01 21:57:32,9.59,0.31,198.57,6.3542,0.0,0.0,MXN,20.7071,MX,ca89f7c0-58df-11eb-a4bf-a3b5621f65d3,1-1-,NO ESTABA,NO ESTABA,VD,Visa Debit,2023-01-01 21:57:32,0,0,0,MX,P1,1.0,889612
T-57873-59d4389e-e2e4-4497-a692-edbaa62c4b0b,MX-P1-1-884845,820092533892,2023-01-02 06:30:42,2023-01-02 06:30:42,9.58,0.31,198.57,6.3542,0.0,0.0,MXN,20.7349,MX,f7c0cd0e-e586-4438-ae70-9bca48367c44,1-1-,SI ESTABA,NO ESTABA,VD,Visa Debit,2023-01-02 06:30:42,0,0,0,MX,P1,1.0,884845
T-57873-2b21b9a0-8596-420f-a659-43086e6400a7,MX-P1-1-831096,920090595901,2023-01-02 06:30:43,0,9.58,0.31,198.57,6.3542,0.0,0.0,MXN,20.7349,MX,c3dbaa35-3a95-46ba-b580-0cb959c97a86,1-1-,SI ESTABA,NO ESTABA,MD,MasterCard Debit,2023-01-02 06:30:43,0,0,0,MX,P1,1.0,831096
T-57873-fa1d8ed3-b7ea-4f3d-8b2c-485f0814c21a,MX-P1-1-122066,850089051382,2023-01-02 06:30:43,0,9.58,0.31,198.57,6.3542,0.0,0.0,MXN,20.7349,MX,6b537180-7160-11eb-9096-ad5118a1c541,1-1-,NO ESTABA,SI ESTABA,VD,Visa Debit,2023-01-02 06:30:43,0,0,0,MX,P1,1.0,122066
T-57873-65444acc-d9ae-471e-9548-b6e505ae2216,MX-P1-1-667061,920090736930,2023-01-02 14:59:26,2023-01-02 14:59:25,9.6,0.31,198.57,6.3542,0.0,0.0,MXN,20.6852,MX,0a8d5200-57e3-4352-89e0-5cb3616a6061,1-1-,NO ESTABA,NO ESTABA,VI,Visa,2023-01-02 14:59:26,0,0,0,MX,P1,1.0,667061
T-57873-e7a6a442-bdce-402e-bc2d-c41d42b1204b,MX-P1-1-659980,920091548237,2023-01-03 06:30:41,2023-01-03 06:30:41,9.62,0.31,198.57,6.3542,0.0,0.0,MXN,20.6492,MX,dd4ad900-fa03-11eb-a152-8dc7edee710f,1-1-,SI ESTABA,NO ESTABA,MC,Mastercard,2023-01-03 06:30:41,0,0,0,MX,P1,1.0,659980
T-57873-643decfa-7d79-4de1-9d08-7f95e0d9a35f,MX-P1-1-995280,730088472115,2023-01-03 06:30:42,2023-01-03 06:30:41,9.62,0.31,198.57,6.3542,0.0,0.0,MXN,20.6492,MX,243e98a8-38d8-41bd-8bb3-2df108f4b768,1-1-,SI ESTABA,NO ESTABA,MC,Mastercard,2023-01-03 06:30:42,0,0,0,MX,P1,1.0,995280
T-57873-b6a06097-63f4-43cd-9350-f8e0b1fadb5d,MX-P1-1-816279,920092201154,2023-01-04 01:23:02,2023-01-04 01:23:01,9.66,0.31,198.57,6.3542,0.0,0.0,MXN,20.5643,MX,2018c280-f185-11eb-afe4-332e0fdbe120,1-1-,NO ESTABA,NO ESTABA,VD,Visa Debit,2023-01-04 01:23:02,0,0,0,MX,P1,1.0,816279
T-57873-17f7bd00-c9f3-424d-92d8-4ca553baaff5,MX-P1-1-311993,920092402573,2023-01-04 06:30:43,2023-01-04 06:30:42,9.66,0.31,198.57,6.3542,0.0,0.0,MXN,20.5467,MX,c3dbaa35-3a95-46ba-b580-0cb959c97a86,1-1-,SI ESTABA,NO ESTABA,MD,MasterCard Debit,2023-01-04 06:30:43,0,0,0,MX,P1,1.0,311993
T-57873-417e4298-da6d-4c08-8e3e-da78affae8da,MX-P1-1-498087,820096479963,2023-01-06 06:30:43,0,9.7,0.31,198.57,6.3542,0.0,0.0,MXN,20.4709,MX,738853bf-4485-4ed0-8845-ed4e841abad3,1-1-,SI ESTABA,NO ESTABA,MD,MasterCard Debit,2023-01-06 06:30:43,0,0,0,MX,P1,1.0,498087
T-57873-cf7bedaa-9970-4b1f-b78f-fe63c44bbb1a,MX-P1-1-435097,850093625484,2023-01-07 06:30:43,0,9.76,0.31,198.57,6.3542,0.0,0.0,MXN,20.351,MX,9fc5df72-b58a-47b7-ad9a-7b08154006c9,1-1-,SI ESTABA,NO ESTABA,MC,Mastercard,2023-01-07 06:30:43,0,0,0,MX,P1,1.0,435097
T-57873-9c026c82-10ac-4404-8da6-43fa33a44f6e,MX-P1-1-430239,920096137509,2023-01-08 06:30:42,0,9.76,0.31,198.57,6.3542,0.0,0.0,MXN,20.351,MX,738853bf-4485-4ed0-8845-ed4e841abad3,1-1-,SI ESTABA,NO ESTABA,MD,MasterCard Debit,2023-01-08 06:30:42,0,0,0,MX,P1,1.0,430239
T-57873-51acb762-89f8-4845-9eec-cf5ef8d51d8f,MX-P1-1-539571,730092931436,2023-01-08 06:30:42,0,9.76,0.31,198.57,6.3542,0.0,0.0,MXN,20.351,MX,e42491c0-0e83-11ec-b74f-15e3f6c058ba,1-1-,SI ESTABA,NO ESTABA,VD,Visa Debit,2023-01-08 06:30:42,0,0,0,MX,P1,1.0,539571
