Reference,Invoice,External Reference,Create Date,Validated Date,Amount Usd,Fee amount USD,Local Amount,Local Fee Amount,Local VAT,Local Original Amount,Local Currency,Exchange Rate,Country,User account,EXTRAE,Payment Method,Payment Method Name,Payment Method Type,Status,FechaMin,DiasDesdeFechaMin,CohortGroup,CohortPeriod,Pais,Plan,Duracion,ID
T-57873-6da0639e-d55d-4cfb-9579-44206e886854,PA-P2-12-832206,0,2022-11-15 17:02:32,0,228.0,11.29,228.0,11.286,0.0,0.0,USD,1.0,PA,b190d539-f266-4496-9204-189503a84457,2-12,VI,Visa,CREDIT_CARD,REJECTED,2022-11-15 17:02:32,0,0,0,PA,P2,12.0,832206
T-57873-888a8ab0-2512-4833-b0b4-45b49369ba46,PA-P2-12-929007,0,2022-11-15 17:53:11,0,228.0,11.29,228.0,11.286,0.0,0.0,USD,1.0,PA,7922e500-9bcc-11eb-a0dd-db2c764e6d10,2-12,VI,Visa,CREDIT_CARD,REJECTED,2022-11-15 17:53:11,0,0,0,PA,P2,12.0,929007
T-57873-1a9672a7-443b-459e-b353-947225bae939,PA-P2-12-502740,0,2022-11-15 17:53:51,0,228.0,11.29,228.0,11.286,0.0,0.0,USD,1.0,PA,7922e500-9bcc-11eb-a0dd-db2c764e6d10,2-12,VI,Visa,CREDIT_CARD,REJECTED,2022-11-15 17:53:51,0,0,0,PA,P2,12.0,502740
T-57873-6477d414-2ef4-4a54-a410-8b4742aec93c,PA-P2-12-542236,0,2022-11-15 17:54:35,0,228.0,11.29,228.0,11.286,0.0,0.0,USD,1.0,PA,7922e500-9bcc-11eb-a0dd-db2c764e6d10,2-12,VI,Visa,CREDIT_CARD,REJECTED,2022-11-15 17:54:35,0,0,0,PA,P2,12.0,542236
T-57873-8691c7ee-5dde-4da0-b78a-37e76f7d2b14,PA-P2-12-312087,0,2022-11-15 17:57:08,0,228.0,11.29,228.0,11.286,0.0,0.0,USD,1.0,PA,7922e500-9bcc-11eb-a0dd-db2c764e6d10,2-12,VI,Visa,CREDIT_CARD,REJECTED,2022-11-15 17:57:08,0,0,0,PA,P2,12.0,312087
T-57873-1484d1f5-22bf-4d94-8508-4441bd9a3a9b,PA-P2-12-997062,0,2022-11-15 18:01:25,0,228.0,11.29,228.0,11.286,0.0,0.0,USD,1.0,PA,918803d7-b406-4ff3-8987-d2dc4b4e980f,2-12,MC,Mastercard,CREDIT_CARD,REJECTED,2022-11-15 18:01:25,0,0,0,PA,P2,12.0,997062
T-57873-289231d6-c172-4193-b801-69b9da4cdce5,PA-P2-12-203326,0,2022-11-15 18:02:14,0,228.0,11.29,228.0,11.286,0.0,0.0,USD,1.0,PA,918803d7-b406-4ff3-8987-d2dc4b4e980f,2-12,MC,Mastercard,CREDIT_CARD,REJECTED,2022-11-15 18:02:14,0,0,0,PA,P2,12.0,203326
T-57873-2e2c68dd-94fe-4dec-b149-66a40a72e056,PA-P2-12-712436,DLPA0288000055162026,2022-11-15 22:20:26,0,228.0,11.29,228.0,11.286,0.0,0.0,USD,1.0,PA,e400f5e0-44c2-11ec-b497-dfb4a91c6a29,2-12,VI,Visa,CREDIT_CARD,REJECTED,2022-11-15 22:20:26,0,0,0,PA,P2,12.0,712436
T-57873-1e49c032-3b54-43e2-8d2a-86af76d35f4f,PA-P2-12-125576,DLPA0288000057162634,2022-11-15 22:26:35,0,228.0,11.29,228.0,11.286,0.0,0.0,USD,1.0,PA,e400f5e0-44c2-11ec-b497-dfb4a91c6a29,2-12,VI,Visa,CREDIT_CARD,REJECTED,2022-11-15 22:26:35,0,0,0,PA,P2,12.0,125576
T-57873-1b1765d0-21ff-4b98-91f0-a4c552d9c733,PA-P2-12-321504,DLPA0288000058162702,2022-11-15 22:27:02,0,228.0,11.29,228.0,11.286,0.0,0.0,USD,1.0,PA,e400f5e0-44c2-11ec-b497-dfb4a91c6a29,2-12,VI,Visa,CREDIT_CARD,REJECTED,2022-11-15 22:27:02,0,0,0,PA,P2,12.0,321504
