Reference,Invoice,External Reference,Create Date,Validated Date,Amount Usd,Fee amount USD,Local Amount,Local Fee Amount,Local VAT,Local Original Amount,Local Currency,Exchange Rate,Country,User account,EXTRAE,Payment Method,Payment Method Name,Payment Method Type,Status,FechaMin,DiasDesdeFechaMin,CohortGroup,CohortPeriod,Pais,Plan,Duracion,ID
T-57873-679c96ae-1634-4cd1-9bc4-6488dcb7711a,CL-P1-6-218827,1948153195,2022-11-16 20:20:12,2022-11-16 20:20:12,46.06,1.89,44503.0,1824.623,0.0,0.0,CLP,966.1974,CL,a18a20d1-400b-46df-9faf-9ecebac2960d,1-6-,MD,MasterCard Debit,DEBIT_CARD,PAID,2022-11-16 20:20:12,0,0,0,CL,P1,6.0,218827
T-57873-3f8c6a5c-bb46-4e88-b02b-31bf1a7cf589,CL-P1-6-636717,0,2022-11-17 02:09:30,0,46.06,1.89,44503.0,1824.623,0.0,0.0,CLP,966.1889,CL,7496c648-672d-4238-ab0d-a274a9227389,1-6-,VD,Visa Debit,DEBIT_CARD,REJECTED,2022-11-17 02:09:30,0,0,0,CL,P1,6.0,636717
T-57873-79a8b42b-77ac-48dc-b28a-926e73fd521d,CL-P1-6-938807,1949403409,2022-11-17 02:14:20,2022-11-17 02:14:19,46.06,1.89,44503.0,1824.623,0.0,0.0,CLP,966.1889,CL,7496c648-672d-4238-ab0d-a274a9227389,1-6-,MD,MasterCard Debit,DEBIT_CARD,PAID,2022-11-17 02:14:20,0,0,0,CL,P1,6.0,938807
T-57873-09782906-4ef6-4bcf-afc8-eb99933d9434,CL-P1-6-468300,546922,2022-11-21 17:04:14,2022-11-21 17:04:11,44.38,1.82,44503.0,1824.623,0.0,0.0,CLP,1002.7589,CL,c764eae0-279c-11ec-a514-0789f63825c0,1-6-,CM,CMR,CREDIT_CARD,PAID,2022-11-21 17:04:14,0,0,0,CL,P1,6.0,468300
T-57873-c693192b-a800-42a3-84f8-58f9db39c862,CL-P1-6-777279,101154,2023-01-01 16:10:12,2023-01-01 16:10:09,49.26,2.02,44503.0,1824.623,0.0,0.0,CLP,903.3839,CL,abaa5493-02a3-4c17-8740-a4773806180e,1-6-,NO ESTABA,NO ESTABA,MC,Mastercard,2023-01-01 16:10:12,0,0,0,CL,P1,6.0,777279
T-57873-da3a9a71-fe70-4f1d-b04a-6c6eb7021bd6,CL-P1-6-683764,010415,2023-01-02 11:42:51,2023-01-02 11:42:48,49.26,2.02,44503.0,1824.623,0.0,0.0,CLP,903.3861,CL,34022f80-512f-11ec-8ea8-35ccfdded09c,1-6-,NO ESTABA,NO ESTABA,MC,Mastercard,2023-01-02 11:42:51,0,0,0,CL,P1,6.0,683764
T-57873-bceca160-d081-4719-927a-72f8c6aaee5d,CL-P1-6-636296,2201245435,2023-01-27 20:56:20,2023-01-27 20:56:19,51.99,2.13,44503.0,1824.623,0.0,0.0,CLP,855.9489,CL,04c5d7b0-fbbb-11eb-bd78-e79c47645809,1-6-,NO ESTABA,NO ESTABA,VD,Visa Debit,2023-01-27 20:56:20,0,0,0,CL,P1,6.0,636296
