Reference,Invoice,External Reference,Create Date,Validated Date,Amount Usd,Fee amount USD,Local Amount,Local Fee Amount,Local VAT,Local Original Amount,Local Currency,Exchange Rate,Country,User account,EXTRAE,Payment Method,Payment Method Name,Payment Method Type,Status,FechaMin,DiasDesdeFechaMin,CohortGroup,CohortPeriod,Pais,Plan,Duracion,ID
D-57873-c263d0d4-17f9-4501-ad69-8ed94aa4521a,BR-P1-1-931470,QRS1TXZS9YQTDKX5NS4WIHJQT6CZCVPOHNH,2022-11-15 01:34:29,2022-11-15 01:36:58,8.82,0.34,50.0,1.95,0.0,0.0,BRL,5.6455,BR,109e95e0-9d66-11eb-9de4-5b801bf08e66,1-1-,PQ,PIX QR,CASH,PAID,2022-11-15 01:34:29,0,0,0,BR,P1,1.0,931470
D-57873-977cb32c-c2aa-4e60-b451-0d1c5ffa0dd6,BR-P1-1-352910,QRS1TXCHFOURGXH6RDFBXDVTLE5QIHSW9TJ,2022-11-15 16:40:03,2022-11-15 16:41:04,8.82,0.34,50.0,1.95,0.0,0.0,BRL,5.6455,BR,7132977b-2676-4ae9-87f0-8e282f7d5d11,1-1-,PQ,PIX QR,CASH,PAID,2022-11-15 16:40:03,0,0,0,BR,P1,1.0,352910
D-57873-a7ccbcb1-9fc1-4298-bce1-99fa163cb3d3,BR-P1-1-514211,QRS1TXGF9TFGQKSGUVBEXTP0UNMKI2UAQJ2,2022-11-15 16:46:31,0,8.82,0.34,50.0,1.95,0.0,0.0,BRL,5.6455,BR,7132977b-2676-4ae9-87f0-8e282f7d5d11,1-1-,PQ,PIX QR,CASH,REJECTED,2022-11-15 16:46:31,0,0,0,BR,P1,1.0,514211
T-57873-ac3fb8cc-d5c4-4d78-bbb7-830a8baabc2b,BR-P1-1-345773,2032322719,2022-11-15 17:15:23,2022-11-15 17:15:22,8.82,0.28,50.0,1.6,0.0,0.0,BRL,5.6455,BR,dba9b5c0-bb39-11eb-ad0f-f95fa2beb74f,1-1-,MC,Mastercard,CREDIT_CARD,PAID,2022-11-15 17:15:23,0,0,0,BR,P1,1.0,345773
REF-57873-5866131b-5b2f-4114-9191-6189bc25ba1b,BR-P1-1-345773,0,2022-11-15 17:16:38,2022-11-15 17:25:03,8.82,1.0,50.0,0.0,0.0,0.0,BRL,0.0,BR,0,1-1-,MC,Mastercard,CREDIT_CARD,REFUNDED,2022-11-15 17:16:38,0,0,0,BR,P1,1.0,345773
T-57873-71db72e5-bbe8-44a4-a2ad-31e902455b6a,BR-P1-1-199126,2032385239,2022-11-15 17:49:37,2022-11-15 17:49:36,8.82,0.28,50.0,1.6,0.0,0.0,BRL,5.6455,BR,732afce6-0bcc-47a8-aa53-297e2bae67fb,1-1-,MC,Mastercard,CREDIT_CARD,PAID,2022-11-15 17:49:37,0,0,0,BR,P1,1.0,199126
D-57873-62cbbc8f-e918-43e6-a7f7-ecfe1dac20c5,BR-P1-1-812118,QRS1TX2OBQFTGMERFUVJV96GY02QL2IFSBW,2022-11-15 20:47:29,2022-11-15 20:48:45,8.82,0.34,50.0,1.95,0.0,0.0,BRL,5.6455,BR,db346a80-69c0-11ec-b557-af63b2e9c71a,1-1-,PQ,PIX QR,CASH,PAID,2022-11-15 20:47:29,0,0,0,BR,P1,1.0,812118
D-57873-9046c786-0361-4718-be40-a397c75fc72e,BR-P1-1-842656,QRS1TXOKLTOETQPGFTWRGA6BBFHH1C9RM5A,2022-11-15 20:51:11,2022-11-15 20:51:36,8.82,0.34,50.0,1.95,0.0,0.0,BRL,5.6455,BR,0f797fbd-aa48-42ab-a645-df2d7ddfabd5,1-1-,PQ,PIX QR,CASH,PAID,2022-11-15 20:51:11,0,0,0,BR,P1,1.0,842656
D-57873-e3d044eb-c08e-4701-b109-565dd6166aee,BR-P1-1-705499,QRS1TXQUJ7GEUPT13NMDKCG6XLUWDO5AWG4,2022-11-15 21:05:28,2022-11-15 21:08:48,8.82,0.34,50.0,1.95,0.0,0.0,BRL,5.6455,BR,73df83d3-eab2-40ba-bd07-1d357a76e3ed,1-1-,PQ,PIX QR,CASH,PAID,2022-11-15 21:05:28,0,0,0,BR,P1,1.0,705499
T-57873-7750fd55-1adc-4f40-bf29-3b90674161cf,BR-P1-1-909320,0,2022-11-15 21:07:38,0,8.82,0.28,50.0,1.6,0.0,0.0,BRL,5.6455,BR,5c55a4c0-7fcc-11ec-8644-a7ce54fa0ba7,1-1-,MC,Mastercard,CREDIT_CARD,REJECTED,2022-11-15 21:07:38,0,0,0,BR,P1,1.0,909320
D-57873-07b504bf-abe2-4e9c-941f-03dcdd9db707,BR-P1-1-819719,QRS1TXNSBKU9DB7FD1HHFWGGFPVRFYN0WTU,2022-11-15 21:08:03,2022-11-15 21:08:56,8.82,0.34,50.0,1.95,0.0,0.0,BRL,5.6455,BR,5c55a4c0-7fcc-11ec-8644-a7ce54fa0ba7,1-1-,PQ,PIX QR,CASH,PAID,2022-11-15 21:08:03,0,0,0,BR,P1,1.0,819719
D-57873-d51d6744-0864-454e-b0e9-9d613c55ae56,BR-P1-1-617570,QRS1TXKR61WQQBAB6YEA7SO28IIJPSCYK7J,2022-11-15 21:35:24,2022-11-15 21:36:34,8.82,0.34,50.0,1.95,0.0,0.0,BRL,5.6455,BR,beaa4e60-6f3f-11eb-a5f9-493f5dd878f4,1-1-,PQ,PIX QR,CASH,PAID,2022-11-15 21:35:24,0,0,0,BR,P1,1.0,617570
D-57873-bcc5ede1-3ef9-44b9-b28b-b5df467cba77,BR-P1-1-762208,QRS1TXLJJAOKEGKZ9PWSS6DTHOUXOYNIFKO,2022-11-15 21:36:48,0,8.82,0.34,50.0,1.95,0.0,0.0,BRL,5.6455,BR,515c5730-35b2-11ec-a7d4-29d14024f6f7,1-1-,PQ,PIX QR,CASH,REJECTED,2022-11-15 21:36:48,0,0,0,BR,P1,1.0,762208
