Reference,Invoice,External Reference,Create Date,Validated Date,Amount Usd,Fee amount USD,Local Amount,Local Fee Amount,Local VAT,Local Original Amount,Local Currency,Exchange Rate,Country,User account,EXTRAE,Payment Method,Payment Method Name,Payment Method Type,Status,FechaMin,DiasDesdeFechaMin,CohortGroup,CohortPeriod,Pais,Plan,Duracion,ID
T-57873-3e2ca983-f710-4344-9661-36d8e0788c82,PA-P1-6-329541,DLPA0288000084191338,2022-11-16 01:13:39,2022-11-16 01:13:39,48.0,2.38,48.0,2.376,0.0,0.0,USD,1.0,PA,8855e7d0-5b95-11ec-aac5-c7221097bc2c,1-6-,VI,Visa,CREDIT_CARD,PAID,2022-11-16 01:13:39,0,0,0,PA,P1,6.0,329541
T-57873-63a719c2-70c8-43d0-8dbb-0cbe0f6172a0,PA-P1-6-673766,DLPA0288000099082539,2022-11-16 14:25:40,0,48.0,2.38,48.0,2.376,0.0,0.0,USD,1.0,PA,f938c480-66bc-11ec-95ad-0fd9b0642544,1-6-,VI,Visa,CREDIT_CARD,REJECTED,2022-11-16 14:25:40,0,0,0,PA,P1,6.0,673766
T-57873-e53c8d72-7b33-492b-a7df-8a261f7e3dbd,PA-P1-6-510794,DLPA0288000100085753,2022-11-16 14:57:54,0,48.0,2.38,48.0,2.376,0.0,0.0,USD,1.0,PA,f938c480-66bc-11ec-95ad-0fd9b0642544,1-6-,VI,Visa,CREDIT_CARD,REJECTED,2022-11-16 14:57:54,0,0,0,PA,P1,6.0,510794
T-57873-b939e81f-9f1c-4823-b008-b4ce775720ef,PA-P1-6-122260,DLPA0288000101090056,2022-11-16 15:00:57,0,48.0,2.38,48.0,2.376,0.0,0.0,USD,1.0,PA,f938c480-66bc-11ec-95ad-0fd9b0642544,1-6-,VI,Visa,CREDIT_CARD,REJECTED,2022-11-16 15:00:57,0,0,0,PA,P1,6.0,122260
T-57873-af9a84d4-c6f4-4313-bc1e-676eaeee36e5,PA-P1-6-786732,DLPA0288000102090114,2022-11-16 15:01:15,0,48.0,2.38,48.0,2.376,0.0,0.0,USD,1.0,PA,f938c480-66bc-11ec-95ad-0fd9b0642544,1-6-,VI,Visa,CREDIT_CARD,REJECTED,2022-11-16 15:01:15,0,0,0,PA,P1,6.0,786732
T-57873-41455c49-a941-4879-be4a-526a8847ab8b,PA-P1-6-126221,DLPA0288000117130823,2022-11-16 19:08:24,2022-11-16 19:08:23,48.0,2.38,48.0,2.376,0.0,0.0,USD,1.0,PA,f938c480-66bc-11ec-95ad-0fd9b0642544,1-6-,VI,Visa,CREDIT_CARD,PAID,2022-11-16 19:08:24,0,0,0,PA,P1,6.0,126221
T-57873-3b903fcb-625a-4b6d-bf26-31d5d28ab02e,PA-P1-6-354709,DLPA0288000574065229,2023-01-19 12:52:31,2023-01-19 12:52:30,48.0,2.38,48.0,2.376,0.0,0.0,USD,1.0,PA,7f8aa960-0147-11ec-98d0-b78f2954d993,1-6-,NO ESTABA,NO ESTABA,MC,Mastercard,2023-01-19 12:52:31,0,0,0,PA,P1,6.0,354709
T-57873-d616b183-c357-474e-9e40-49c2a5c2ede8,PA-P1-6-986575,DLPA0288000602121325,2023-01-22 18:13:27,2023-01-22 18:13:26,48.0,2.38,48.0,2.376,0.0,0.0,USD,1.0,PA,99c247c1-5548-43b7-a2d2-123bc20111c8,1-6-,NO ESTABA,NO ESTABA,VD,Visa Debit,2023-01-22 18:13:27,0,0,0,PA,P1,6.0,986575
T-57873-469d78f7-9996-4949-8ccb-357a488cddbc,PA-P1-6-373880,DLPA0288000680130939,2023-02-07 19:09:41,2023-02-07 19:09:41,48.0,2.38,48.0,2.376,0.0,0.0,USD,1.0,PA,4e4f9630-87c0-11ec-bf76-b1a1343bb3d0,1-6-,NO ESTABA NOV,NO ESTABA DIC,NO ESTABA ENE,MC,2023-02-07 19:09:41,0,0,0,PA,P1,6.0,373880
T-57873-d5a04c73-6880-4a57-b6d2-bcc3a31d0283,PA-P1-6-533213,DLPA0288000770121740,2023-02-23 18:17:43,2023-02-23 18:17:43,48.0,2.38,48.0,2.376,0.0,0.0,USD,1.0,PA,71db06b0-6c40-11ec-84dc-358de9e65ac5,1-6-,ESTABA NOV,NO ESTABA DIC,NO ESTABA ENE,MD,2023-02-23 18:17:43,0,0,0,PA,P1,6.0,533213
