Reference,Invoice,External Reference,Create Date,Validated Date,Amount Usd,Fee amount USD,Local Amount,Local Fee Amount,Local VAT,Local Original Amount,Local Currency,Exchange Rate,Country,User account,EXTRAE,Payment Method,Payment Method Name,Payment Method Type,Status,FechaMin,DiasDesdeFechaMin,CohortGroup,CohortPeriod,Pais,Plan,Duracion,ID
T-57873-096b28f5-8d42-4caf-9fd7-d8258ea59751,BR-P1-12-655411,2032323990,2022-11-15 17:16:01,2022-11-15 17:16:00,74.11,2.37,420.0,13.44,0.0,0.0,BRL,5.6455,BR,302590c1-30f6-4088-8415-ad668aec0ee6,1-12,MC,Mastercard,CREDIT_CARD,PAID,2022-11-15 17:16:01,0,0,0,BR,P1,12.0,655411
D-57873-c4832d21-a70d-4023-967e-a9c68db31f26,BR-P1-12-972080,QRS1TX2TWQO79Q0DRFA1KDHYAFMNFL59IQI,2022-11-15 18:29:48,0,74.11,2.89,420.0,16.38,0.0,0.0,BRL,5.6455,BR,7cb762c0-06b6-11ec-9c1c-bdaf03bdd9d0,1-12,PQ,PIX QR,CASH,REJECTED,2022-11-15 18:29:48,0,0,0,BR,P1,12.0,972080
D-57873-48343716-69c2-4621-b52a-a97506d4db0a,BR-P1-12-290546,QRS1TXHEAVMTESLEUWIEMZFLIM4ROO6WZPD,2022-11-15 19:53:45,2022-11-15 19:55:20,74.11,2.89,420.0,16.38,0.0,0.0,BRL,5.6455,BR,56722930-7bdd-11ec-929c-9b4aa1e457b9,1-12,PQ,PIX QR,CASH,PAID,2022-11-15 19:53:45,0,0,0,BR,P1,12.0,290546
D-57873-5e4ab6bc-ca63-49f6-a0bf-0c5157bd83d3,BR-P1-12-254530,QRS1TXATPR9XYBY6X7BZBU1FHKN4IC0YMFG,2022-11-15 20:34:21,2022-11-15 20:34:46,74.11,2.89,420.0,16.38,0.0,0.0,BRL,5.6455,BR,e3dc9310-ceef-11eb-be93-3bca9b7a9cd2,1-12,PQ,PIX QR,CASH,PAID,2022-11-15 20:34:21,0,0,0,BR,P1,12.0,254530
T-57873-f050f0c7-2dff-4d7d-a457-04d636372abc,BR-P1-12-679153,2032663359,2022-11-15 20:38:09,2022-11-15 20:38:09,74.11,2.37,420.0,13.44,0.0,0.0,BRL,5.6455,BR,3c3c00aa-ed9c-461a-9e18-04cd9335223e,1-12,VI,Visa,CREDIT_CARD,PAID,2022-11-15 20:38:09,0,0,0,BR,P1,12.0,679153
D-57873-988bf561-1a23-4522-864e-d1f18d3933d8,BR-P1-12-277123,QRS1TXU9KAYGXMPQQA6RCG8P612RLWTEWPD,2022-11-15 21:10:48,2022-11-15 21:11:39,74.11,2.89,420.0,16.38,0.0,0.0,BRL,5.6455,BR,0d4dccff-5015-482f-aa18-bcccbe12f040,1-12,PQ,PIX QR,CASH,PAID,2022-11-15 21:10:48,0,0,0,BR,P1,12.0,277123
D-57873-a0b13a6b-09c8-4f90-b2cd-360ea6dbfcb6,BR-P1-12-986608,QRS1TXNC6HMOVTVNHYSJJIOE1HR7CYRV32G,2022-11-15 21:39:17,2022-11-15 21:39:46,74.11,2.89,420.0,16.38,0.0,0.0,BRL,5.6455,BR,674168d7-0ff8-4d0b-80ba-22b42148a01b,1-12,PQ,PIX QR,CASH,PAID,2022-11-15 21:39:17,0,0,0,BR,P1,12.0,986608
T-57873-3293bc05-1b3c-486b-a784-0e9eb79e3298,BR-P1-12-342250,2032788037,2022-11-15 21:55:18,2022-11-15 21:55:17,74.11,2.37,420.0,13.44,0.0,0.0,BRL,5.6455,BR,8d39a2a2-a2cd-4a76-b4e5-0b8eb3e96eda,1-12,MC,Mastercard,CREDIT_CARD,PAID,2022-11-15 21:55:18,0,0,0,BR,P1,12.0,342250
T-57873-f3dee1f2-1b4c-4e37-bdf7-5bd501d194d0,BR-P1-12-839932,111760230023G1NB274C,2022-11-15 22:13:47,0,74.11,2.37,420.0,13.44,0.0,0.0,BRL,5.6455,BR,61e77961-fa29-4321-9389-f9b67ac5f48b,1-12,VD,Visa Debit,DEBIT_CARD,REJECTED,2022-11-15 22:13:47,0,0,0,BR,P1,12.0,839932
T-57873-0cf3171c-7526-4d08-ac5a-311eb78e95ba,BR-P1-12-932116,41921435984285,2022-11-15 22:22:07,2022-11-15 22:22:06,74.11,2.37,420.0,13.44,0.0,0.0,BRL,5.6455,BR,e191b100-f4bb-11eb-9dbc-6b265c64c33a,1-12,VI,Visa,CREDIT_CARD,PAID,2022-11-15 22:22:07,0,0,0,BR,P1,12.0,932116
