Reference,Invoice,External Reference,Create Date,Validated Date,Amount Usd,Fee amount USD,Local Amount,Local Fee Amount,Local VAT,Local Original Amount,Local Currency,Exchange Rate,Country,User account,EXTRAE,Payment Method,Payment Method Name,Payment Method Type,Status,FechaMin,DiasDesdeFechaMin,CohortGroup,CohortPeriod,Pais,Plan,Duracion,ID
T-57873-d146a43b-901f-4dc7-a900-7e42c119d9ed,PA-P1-3-731118,DLPA0288000049142021,2022-11-15 20:20:23,2022-11-15 20:20:22,27.0,1.34,27.0,1.3365,0.0,0.0,USD,1.0,PA,71db06b0-6c40-11ec-84dc-358de9e65ac5,1-3-,MD,MasterCard Debit,DEBIT_CARD,PAID,2022-11-15 20:20:23,0,0,0,PA,P1,3.0,731118
T-57873-6ead07e6-dbfe-48b1-b822-b526a4ded52c,PA-P1-3-351691,DLPA0288000061165411,2022-11-15 22:54:12,0,27.0,1.34,27.0,1.3365,0.0,0.0,USD,1.0,PA,29c00300-53fb-11ec-a017-b542fb695ad6,1-3-,VD,Visa Debit,DEBIT_CARD,REJECTED,2022-11-15 22:54:12,0,0,0,PA,P1,3.0,351691
T-57873-a1592ad4-821b-4665-9a70-0ebd094740b2,PA-P1-3-527243,DLPA0288000062170127,2022-11-15 23:01:28,0,27.0,1.34,27.0,1.3365,0.0,0.0,USD,1.0,PA,29c00300-53fb-11ec-a017-b542fb695ad6,1-3-,VD,Visa Debit,DEBIT_CARD,REJECTED,2022-11-15 23:01:28,0,0,0,PA,P1,3.0,527243
T-57873-81d539ea-58bd-4eaf-876c-61dc697095e8,PA-P1-3-335300,DLPA0288000063170310,2022-11-15 23:03:11,0,27.0,1.34,27.0,1.3365,0.0,0.0,USD,1.0,PA,29c00300-53fb-11ec-a017-b542fb695ad6,1-3-,VD,Visa Debit,DEBIT_CARD,REJECTED,2022-11-15 23:03:11,0,0,0,PA,P1,3.0,335300
T-57873-02b0848b-3657-46f9-a9f3-034d483f12ef,PA-P1-3-155542,DLPA0288000064172016,2022-11-15 23:20:19,2022-11-15 23:20:18,27.0,1.34,27.0,1.3365,0.0,0.0,USD,1.0,PA,d0f36be0-57c5-11ec-a862-95df4ee01e2c,1-3-,MD,MasterCard Debit,DEBIT_CARD,PAID,2022-11-15 23:20:19,0,0,0,PA,P1,3.0,155542
T-57873-753a5fe8-b57f-45c8-b351-7373ed5d07b3,PA-P1-3-497241,DLPA0288000079183026,2022-11-16 00:30:28,2022-11-16 00:30:27,27.0,1.34,27.0,1.3365,0.0,0.0,USD,1.0,PA,1cfb4cc4-d901-4d31-907a-ec8ae3c91da7,1-3-,VD,Visa Debit,DEBIT_CARD,PAID,2022-11-16 00:30:28,0,0,0,PA,P1,3.0,497241
T-57873-14236123-a416-44d6-8afe-603c1a897c62,PA-P1-3-170529,DLPA0288000130164605,2022-11-16 22:46:06,0,27.0,1.34,27.0,1.3365,0.0,0.0,USD,1.0,PA,29c00300-53fb-11ec-a017-b542fb695ad6,1-3-,VD,Visa Debit,DEBIT_CARD,REJECTED,2022-11-16 22:46:06,0,0,0,PA,P1,3.0,170529
T-57873-608aeeee-7cc5-43a1-a59b-70890ecf8592,PA-P1-3-180165,DLPA0288000131164853,2022-11-16 22:48:54,0,27.0,1.34,27.0,1.3365,0.0,0.0,USD,1.0,PA,29c00300-53fb-11ec-a017-b542fb695ad6,1-3-,VD,Visa Debit,DEBIT_CARD,REJECTED,2022-11-16 22:48:54,0,0,0,PA,P1,3.0,180165
T-57873-bc88f8b5-ed7e-4789-b5c7-c449c4b7cfb3,PA-P1-3-136225,DLPA0288000132165010,2022-11-16 22:50:11,2022-11-16 22:50:11,27.0,1.34,27.0,1.3365,0.0,0.0,USD,1.0,PA,29c00300-53fb-11ec-a017-b542fb695ad6,1-3-,MC,Mastercard,CREDIT_CARD,PAID,2022-11-16 22:50:11,0,0,0,PA,P1,3.0,136225
T-57873-c741cb9e-ad9a-4ae0-984b-298efe691904,PA-P1-3-215593,DLPA0288000141063010,2022-11-17 12:30:12,0,27.0,1.34,27.0,1.3365,0.0,0.0,USD,1.0,PA,bcdc5dfe-b231-44a4-9169-3c877c512fbd,1-3-,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-17 12:30:12,0,0,0,PA,P1,3.0,215593
