Reference,Invoice,External Reference,Create Date,Validated Date,Amount Usd,Fee amount USD,Local Amount,Local Fee Amount,Local VAT,Local Original Amount,Local Currency,Exchange Rate,Country,User account,EXTRAE,Payment Method,Payment Method Name,Payment Method Type,Status,FechaMin,DiasDesdeFechaMin,CohortGroup,CohortPeriod,Pais,Plan,Duracion,ID
T-57873-f4c43cb4-76df-436c-9154-09c8b0a15a9c,PA-P2-3-133053,0,2022-11-15 18:12:38,0,73.29,3.63,73.29,3.6279,0.0,0.0,USD,1.0,PA,918803d7-b406-4ff3-8987-d2dc4b4e980f,2-3-,MC,Mastercard,CREDIT_CARD,REJECTED,2022-11-15 18:12:38,0,0,0,PA,P2,3.0,133053
T-57873-7964fc1d-84b2-431f-a9f4-179a366b2f6a,PA-P2-3-741511,0,2022-11-15 18:16:22,0,73.29,3.63,73.29,3.6279,0.0,0.0,USD,1.0,PA,918803d7-b406-4ff3-8987-d2dc4b4e980f,2-3-,VI,Visa,CREDIT_CARD,REJECTED,2022-11-15 18:16:22,0,0,0,PA,P2,3.0,741511
T-57873-9723c6e0-8711-42d9-b375-ee92a3724540,PA-P2-3-118738,0,2022-11-15 18:19:13,0,73.29,3.63,73.29,3.6279,0.0,0.0,USD,1.0,PA,918803d7-b406-4ff3-8987-d2dc4b4e980f,2-3-,VI,Visa,CREDIT_CARD,REJECTED,2022-11-15 18:19:13,0,0,0,PA,P2,3.0,118738
T-57873-82b2cdea-b8a4-4de0-968f-6a8270200b8f,PA-P2-3-388863,DLPA0288000065172500,2022-11-15 23:25:03,2022-11-15 23:25:02,73.29,3.63,73.29,3.6279,0.0,0.0,USD,1.0,PA,95a24290-17fd-11ec-a42b-aff8680dfcf8,2-3-,VI,Visa,CREDIT_CARD,PAID,2022-11-15 23:25:03,0,0,0,PA,P2,3.0,388863
T-57873-4989939f-516b-4710-b8c6-c1b533ba3444,PA-P2-3-304077,DLPA0288000184170736,2022-11-19 23:07:38,0,73.29,3.63,73.29,3.6279,0.0,0.0,USD,1.0,PA,56272f37-3a51-4fdf-a037-871c5572c238,2-3-,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-19 23:07:38,0,0,0,PA,P2,3.0,304077
T-57873-483d4ffc-8e33-4384-b09e-04e5dbccc180,PA-P2-3-931358,DLPA0288000250100518,2022-11-25 16:05:19,0,73.29,3.63,73.29,3.6279,0.0,0.0,USD,1.0,PA,9edec1e5-7b38-4f84-9eff-07b7a680c721,2-3-,MC,Mastercard,CREDIT_CARD,REJECTED,2022-11-25 16:05:19,0,0,0,PA,P2,3.0,931358
T-57873-b39fd113-4536-4301-a587-659138a455ba,PA-P2-3-121607,DLPA0288000251100621,2022-11-25 16:06:24,0,73.29,3.63,73.29,3.6279,0.0,0.0,USD,1.0,PA,9edec1e5-7b38-4f84-9eff-07b7a680c721,2-3-,MD,MasterCard Debit,DEBIT_CARD,REJECTED,2022-11-25 16:06:24,0,0,0,PA,P2,3.0,121607
T-57873-05171c08-3727-4d45-909a-72c1d07a5525,PA-P2-3-710989,DLPA0288000440193745,2022-12-19 01:37:46,2022-12-19 01:37:46,73.29,3.63,73.29,3.6279,0.0,0.0,USD,1.0,PA,6a1fff00-f097-11eb-9610-6f80124998a7,2-3-,no,VD,Visa Debit,DEBIT_CARD,2022-12-19 01:37:46,0,0,0,PA,P2,3.0,710989
T-57873-7fbbbbef-d06a-4043-b2a0-7901ae75375d,PA-P2-3-656644,DLPA0288000459075327,2022-12-26 13:53:29,2022-12-26 13:53:28,73.29,3.63,73.29,3.6279,0.0,0.0,USD,1.0,PA,2faf5ad1-9f51-4dea-bf98-3d96d64f77d6,2-3-,no,VD,Visa Debit,DEBIT_CARD,2022-12-26 13:53:29,0,0,0,PA,P2,3.0,656644
T-57873-bd35cee0-b5e2-42c3-b898-54cb42285525,PA-P2-3-433450,DLPA0288000495194418,2023-01-05 01:44:19,2023-01-05 01:44:19,73.29,3.63,73.29,3.6279,0.0,0.0,USD,1.0,PA,876735e8-910d-4380-9731-5a3b861de05f,2-3-,NO ESTABA,NO ESTABA,VI,Visa,2023-01-05 01:44:19,0,0,0,PA,P2,3.0,433450
